court,case_num,use_type,apt_name,household,addr,area,eval_price,low_price,eval_per,last_price,bid_date,dday,view_count,special_right
성남지원,2024타경62283,아파트,산성역포레스티아아파트,4089.0,"경기도 성남시 수정구 수정로 319, 114동 2층204호 (신흥동,산성역포레스티아아파트)",74.96m² (22.7평),9억9600만원,9억9600만원,139%,13억8120만1000원,2026-07-06,D--22,8.2k,선순위임차인(현황조사)
성남지원,2022타경54585,단독주택,,,경기도 광주시 곤지암읍 장심길 20-10,136.38m² (41.2평),2억457만원,2406만7000원,12%,2410만원,2026-07-06,D--22,9.3k,"재매각, 건물만매각, 특별매각조건, 법정지상권, 선순위임차인"
서울중앙지방법원,2024타경3429,상가,,1772.0,서울특별시 동작구 사당로26가길 8,233.82m² (70.7평),21억4759만1400원,13억7445만8000원,85%,18억2555만원,2026-07-07,D--21,9.0k,"임차권등기, 위반건축물"
서울북부지방법원,2023타경5199,아파트,에스아이팰리스장안센텀,2182.0,"서울특별시 동대문구 한천로2길 84, 11층1109호 (장안동,에스아이팰리스장안센텀)",23.38m² (7.1평),3억7200만원,837만6000원,2%,837만6000원,2026-07-07,D--21,7.6k,"재매각, 임차권등기, 특별매각조건, 선순위임차인"
수원지방법원,2025타경1521,아파트,진산마을성원상떼빌아파트,1744.0,경기도 용인시 수지구 상현동 30 진산마을성원상떼빌아파트 103동 1층102호,84.96m² (25.7평),6억4800만원,4억5360만원,128%,8억3199만9999원,2026-07-08,D--20,13.7k,
성남지원,2025타경52560,아파트,판교원마을,605.0,경기도 성남시 분당구 판교동 513 판교원마을 1111동 3층 301호,101.76m² (30.8평),17억900만원,11억9630만원,70%,11억9630만원,2026-07-13,D--15,7.7k,
서울동부지방법원,2025타경51058,아파트,잠실엘스,5678.0,서울특별시 송파구 잠실동 19 잠실엘스 159동 12층1201호,42.4m² (12.8평),14억3000만원,11억4400만원,84%,12억6만원,2026-07-13,D--15,14.8k,"지분매각, 건물지분"
서울중앙지방법원,2024타경1775,다세대,주건축물,2390.0,"서울특별시 서초구 반포대로26길 35, 1동 6층602호 (서초동,주건축물)",39.52m² (12평),6억1100만원,8200만7000원,66%,4억199만5000원,2026-07-15,D--13,10.8k,"재매각, 선순위임차인, 유치권, 특별매각조건"
서울남부지방법원,2024타경1733,아파트,목동2차우성아파트,2998.0,"서울특별시 양천구 목동남로4길 6-23, 제212동 제11층 제1101호 (신정동, 목동2차우성아파트)",113.91m² (34.5평),11억4000만원,4억6694만4000원,64%,7억3099만9999원,2026-07-15,D--13,16.2k,선순위임차인
서울북부지방법원,2022타경110797,아파트,한일노벨리아,2652.0,"서울특별시 동대문구 천호대로 289, 15층1513호 (답십리동,한일노벨리아)",14.76m² (4.5평),1억3500만원,99만7000원,1%,116만9999원,2026-07-21,D--7,14.3k,"재매각, 임차권등기, 선순위임차인"
서울중앙지방법원,2025타경101733,아파트,은마아파트,6702.0,"서울특별시 강남구 삼성로 212, 31동 14층1401호 (개포동,은마아파트)",94.76m² (28.7평),35억6000만원,28억4800만원,80%,28억4800만원,2026-07-22,D--6,9.7k,"지분매각, 건물지분"
서울동부지방법원,2023타경51714,아파트,문정시영아파트,1316.0,"서울특별시 송파구 송이로31길 56, 8동 9층906호 (문정동,문정시영아파트)",46.26m² (14평),8억원,6억4000만원,164%,13억1200만원,2026-07-27,D--1,12.3k,
서울동부지방법원,2023타경55082,다세대,다소니,4494.0,"서울특별시 송파구 송이로36길 17, 2층201호 (문정동,다소니)",36.19m² (11평),4억원,720만6000원,2%,910만원,2026-07-27,D--1,8.4k,"선순위임차인, 임차권등기, 선순위전세권"
서울동부지방법원,2023타경58135,다세대,성보팰리채,936.0,"서울특별시 송파구 송파대로36가길 15-16, 5층501호 (송파동,성보팰리채)",20.39m² (6.2평),3억6000만원,1013만3000원,3%,1013만3000원,2026-07-27,D--1,10.6k,"임차권등기, 선순위전세권, 위반건축물, 선순위임차인"
서울서부지방법원,2024타경64764,다세대,모던클래식하우스,456.0,"서울특별시 마포구 대흥로4길 70, 2층201호 (토정동,모던클래식하우스)",34.68m² (10.5평),3억4200만원,1억1206만6000원,33%,1억1206만6000원,2026-07-28,D-0,5.3k,"선순위임차인, 임차권등기, 선순위전세권"
서울서부지방법원,2025타경51316,단독주택,,,서울특별시 용산구 후암동 244-56 ,26.04m² (7.9평),7억5871만6000원,4억8557만8000원,64%,4억8557만8000원,2026-07-28,D-0,9.6k,"지분매각, 선순위임차인"
서울서부지방법원,2024타경58264,다세대,모던하우스,834.0,"서울특별시 마포구 만리재옛2길 14, 1동 5층501호 (신공덕동,모던하우스)",51.14m² (15.5평),5억9400만원,2612만5000원,4%,2612만5000원,2026-07-28,D-0,19.6k,"선순위임차인, 임차권등기, 선순위가등기"
고양지원,2024타경65255,아파트,소만마을아파트,2416.0,"경기도 고양시 덕양구 화신로 36, 703동 13층1303호 (행신동,소만마을아파트)",59.04m² (17.9평),3억7600만원,178만6000원,-0%,178만6000원,2026-07-28,D-0,18.0k,"재매각, 특별매각조건, 임차권등기, 선순위임차인"
서울중앙지방법원,2025타경102183,다가구,,,서울특별시 관악구 봉천동 28-18 ,91.56m² (27.7평),6억553만5660원,8127만2000원,13%,8127만2000원,2026-07-28,D-0,10.1k,"선순위임차인, 위반건축물, 임차권등기"
서울중앙지방법원,2024타경6190,아파트,도곡한신아파트,421.0,"서울특별시 강남구 논현로 205, 4동 4층403호 (도곡동,도곡한신아파트)",117.57m² (35.6평),28억5000만원,18억2400만원,64%,18억2400만원,2026-07-30,D-2,8.8k,선순위임차인
서울중앙지방법원,2024타경120935,오피스텔(주거),방배디오슈페리움1,758.0,"서울특별시 서초구 서초대로 3-4, 17층비1702호 (방배동,방배디오슈페리움1)",29.55m² (8.9평),3억2700만원,3511만3000원,11%,3511만3000원,2026-07-30,D-2,7.9k,"재매각, 선순위임차인, 특별매각조건, 토지별도등기"
성남지원,2025타경1674,아파트,청솔마을,1020.0,경기도 성남시 분당구 금곡동 133 청솔마을 904동 12층1202호,42.84m² (13평),12억3000만원,8억6100만원,70%,8억6100만원,2026-08-03,D-6,10.3k,
성남지원,2025타경50201,단독주택,,4089.0,경기도 성남시 수정구 양지로9번길 3-1,288m² (87.1평),6억5831만6500원,7745만원,12%,7745만원,2026-08-03,D-6,10.2k,선순위임차인
서울동부지방법원,2022타경57388,다세대,씨팰리스4차,999.0,"서울특별시 강동구 천중로27길 24-7, 비동 3층303호 (천호동,씨팰리스4차)",38.66m² (11.7평),4억6300만원,1042만6000원,2%,1042만6000원,2026-08-03,D-6,28.4k,"재매각, 임차권등기, 선순위임차인"
성남지원,2025타경52832,아파트,한솔마을,598.0,경기도 성남시 분당구 정자동 111 한솔마을 205동 1층 102호,50.92m² (15.4평),7억1000만원,4억9700만원,70%,4억9700만원,2026-08-03,D-6,5.8k,"지분매각, 건물지분, 선순위임차인"
서울서부지방법원,2024타경50369,다세대,대고샤인빌,977.0,"서울특별시 은평구 역말로9길 24-26, 3층303호 (대조동,대고샤인빌)",39.63m² (12평),4억1700만원,1억7080만3000원,41%,1억7080만3000원,2026-08-04,D-7,9.2k,"임차권등기, 선순위임차인"
서울중앙지방법원,2025타경102095,단독주택,,,서울특별시 동작구 사당동 1015-38 ,96.77m² (29.3평),11억1333만4600원,8억9066만7000원,80%,8억9066만7000원,2026-08-04,D-7,12.9k,
서울중앙지방법원,2024타경119027,다세대,서초클레어,2390.0,"서울특별시 서초구 반포대로19길 9-3, 3층301호 (서초동,서초클레어)",29.97m² (9.1평),5억1500만원,5529만8000원,11%,5529만8000원,2026-08-05,D-8,8.1k,"재매각, 선순위임차인, 임차권등기, 특별매각조건"
성남지원,2024타경5020,단독주택,,,경기도 광주시 수레실길 214,197.14m² (59.6평),3억5090만9200원,340만원,1%,340만원,2026-08-10,D-13,8.4k,"형식적경매, 선순위임차인, 건물만매각, 법정지상권, 선순위전세권"
서울동부지방법원,2024타경59890,다세대,런던빌,936.0,"서울특별시 송파구 백제고분로46길 14, 5층504호 (송파동,런던빌)",27.23m² (8.2평),3억7100만원,2억9680만원,80%,2억9680만원,2026-08-10,D-13,7.7k,"대항력포기, 위반건축물, 임차권등기, 선순위임차인"
서울중앙지방법원,2024타경118123,다가구,,3544.0,서울특별시 관악구 장군봉5길 30-10,341.66m² (103.4평),17억9740만원,3억7694만원,21%,3억7694만원,2026-08-11,D-14,9.6k,"임차권등기, 선순위임차인, 위반건축물"
고양지원,2023타경79325,아파트,강선마을아파트,966.0,"경기도 고양시 일산서구 강선로 116, 201동 12층1202호 (주엽동,강선마을아파트)",101.88m² (30.8평),6억7700만원,656만원,1%,656만원,2026-08-18,D-21,9.7k,"재매각, 선순위임차인, 임차권등기"
서울중앙지방법원,2024타경114251,단독주택,,,"서울특별시 서초구 효령로61길 15 (서초동,제2동)",279.3m² (84.5평),58억1631만6300원,29억7795만4000원,51%,29억7795만4000원,2026-08-20,D-23,8.2k,"토지지분, 선순위임차인"
서울서부지방법원,2024타경56220,단독주택,,4300.0,서울특별시 서대문구 북아현로24길 39,208.09m² (63평),25억8637만3760원,13억2422만3000원,51%,13억2422만3000원,2026-08-25,D-28,10.4k,
서울중앙지방법원,2024타경109242,상가,풀향기주택,1050.0,"서울특별시 강남구 역삼로11길 17 (역삼동,풀향기주택)",294.16m² (89평),2억7501만1200원,2362만4000원,9%,2362만4000원,2026-08-25,D-28,7.7k,"임차권등기, 위반건축물, 선순위임차인, 건물만매각, 법정지상권"
수원지방법원,2024타경68165,아파트,동탄역린스트라우스,1036.0,"경기도 화성시 동탄역로 102, 103동 34층3402호 (오산동,동탄역린스트라우스)",84.27m² (25.5평),12억1000만원,8억4700만원,70%,8억4700만원,2026-08-25,D-28,13.6k,
서울동부지방법원,2024타경63622,다세대,중곡동,,"서울특별시 광진구 용마산로3길 78(중곡동), 3층302호 (중곡동,모두스타빌)",46.29m² (14평),6억177만원,1억5775만원,26%,1억5775만원,2026-08-31,D-34,8.3k,"선순위임차인, 임차권등기"
서울동부지방법원,2023타경60534,아파트,신원리브웰 화양동 주상복합,296.0,"서울특별시 광진구 능동로 170, 4층405호 (화양동,신원리브웰 화양동 주상복합)",20.66m² (6.2평),2억2700만원,998만3000원,4%,998만3000원,2026-08-31,D-34,11.8k,"형식적경매, 선순위임차인, 임차권등기"
서울동부지방법원,2024타경3491,단독주택,,9510.0,서울특별시 송파구 송이로27길 16,75.19m² (22.7평),9억9929만8030원,5억1164만원,51%,5억1164만원,2026-08-31,D-34,8.4k,"지분매각, 선순위임차인"
